,Name,Degree,Specialization,Experience,Location,City,Recommendation,Feedback,Fees
932,Dr. Subodh M Shetty,MBBS,Orthopedist,30,Koramangala,Bangalore,89,67,600
933,Dr. Pavan Chebbi,MBBS,Orthopedist,19,BTM Layout 1st Stage,Bangalore,98,192,700
934,Dr. Balasubramanyam PR,MBBS,Orthopedist,23,Rajarajeshwarinagar,Bangalore,99,220,600
935,Dr. Ajay Rao,MBBS,Orthopedist,23,Basaveshwaranagar,Bangalore,10,41,500
936,Dr. Mahesh Channabasappa Gonchikar,MBBS,Orthopedist,28,Malleswaram,Bangalore,10,25,850
937,Dr. Prabhakar V,MBBS,Orthopedist,14,KR Puram,Bangalore,94,47,399
938,Dr. Sunil N,MBBS,Orthopedist,10,Panathur,Bangalore,10,41,550
939,Dr. Deepak N Inamdar,MBBS,Orthopedist,24,Jayanagar 3 Block,Bangalore,94,106,600
940,Dr. Rajan.V.G.,MBBS,Orthopedist,26,Kammana Halli,Bangalore,94,64,900
941,Dr. Anil Patil,MBBS,Orthopedist,13,Vijayanagar,Bangalore,99,124,500
942,Dr. Renu Nair,MBBS,Dermatologist,14,HSR Layout,Bangalore,97,128,600
943,Dr. Sujaya S.N.,MBBS,Dermatologist,18,HRBR Layout,Bangalore,98,122,600
944,Dr. K C Dharam Kumar,MBBS,Dermatologist,8,JP Nagar,Bangalore,99,144,750
945,Dr. Swagata Chakrabarty,MBBS,Dermatologist,12,Indiranagar,Bangalore,89,6,650
946,Dr. Abhilasha M D,MBBS,Dermatologist,8,JP Nagar,Bangalore,97,116,750
947,Dr. Swetha Gutha,MBBS,Dermatologist,11,Harlur,Bangalore,97,97,500
948,Dr. Poovamma A S,MBBS,Dermatologist,8,HSR Layout,Bangalore,95,15,600
949,Dr. Aishwarya Radhakrishna,MBBS,Dermatologist,14,Jayanagar 5 Block,Bangalore,91,46,600
950,Dr. Shishira R J,MBBS,Dermatologist,10,HSR Layout,Bangalore,94,225,1000
951,Dr. Namrata Singh,BPTh/BPT,Dermatologist,9,HSR Layout,Bangalore,10,18,600
952,Dr. Subodh  Kumar Mahato   (Physiotherapist),BPTh/BPT,Physiotherapist,9,Dasarahalli,Bangalore,10,23,500
953,Dr. Pavithra S   (Physiotherapist),MPTh/MPT,Physiotherapist,5,HRBR Layout,Bangalore,10,1,350
954,Dr. Swathi   (Physiotherapist),BPTh/BPT,Physiotherapist,10,Malleswaram,Bangalore,10,18,700
955,Dr. Bhagya Sri   (Physiotherapist),Masters,Physiotherapist,4,Whitefield,Bangalore,10,4,300
956,Dr. Gaurav Sheel   (Physiotherapist),BPTh/BPT,Physiotherapist,12,Kundalahalli,Bangalore,94,15,500
957,Dr. Jyoti Raghavendra   (Physiotherapist),BPTh/BPT,Physiotherapist,16,Marathahalli,Bangalore,94,178,400
958,Dr. Mahesh G   (Physiotherapist),MPTh/MPT,Physiotherapist,15,Jayanagar,Bangalore,98,361,500
959,Dr. Anant Kumar Bairagi   (Physiotherapist),BPTh/BPT,Physiotherapist,12,Nagarbhavi,Bangalore,10,4,400
960,Dr. Shilpi Sarthi   (Physiotherapist),BPTh/BPT,Physiotherapist,15,Hennur,Bangalore,93,12,400
961,Dr. Riddi Suvarna   (Physiotherapist),MS,Physiotherapist,5,Banashankari 2nd Stage,Bangalore,10,3,750
962,Dr. Sunitha T,MBBS,Infertility Specialist,15,Vidyaranyapura,Bangalore,10,84,300
963,Dr. Aparnaa Panda,MBBS,Infertility Specialist,24,BTM Layout 2nd Stage,Bangalore,92,814,800
964,Dr. Karamjit Kaur,MBBS,Infertility Specialist,21,Old Airport Road,Bangalore,80,6,850
965,Dr. Basavaraj  Devarashetty,MD,Infertility Specialist,25,Marathahalli,Bangalore,98,409,700
966,Dr. Chitra Ramamurthy,MBBS,Infertility Specialist,42,Bannerghatta Road,Bangalore,94,53,850
967,Dr. Jyothi Patil,MBBS,Infertility Specialist,17,Whitefield,Bangalore,98,137,600
968,Dr. B Ramesh,MBBS,Infertility Specialist,33,HBR Layout,Bangalore,99,324,800
969,Dr. Vidyamani Boriah,MBBS,Infertility Specialist,52,VV Puram,Bangalore,92,10,600
970,Dr. Aruna Kumari V,MBBS,Infertility Specialist,15,Bellandur,Bangalore,88,51,850
971,Dr. Shubha M,MBBS,Infertility Specialist,24,KR Puram,Bangalore,94,85,600
972,Dr. Leslie Ravi Kumar,MBBS,Ophthalmologist,26,Millers Road,Bangalore,99,9,1000
973,Dr. Dinesh P N,MBBS,Ophthalmologist,36,Cunningham Road,Bangalore,10,0,700
974,Dr. Pramod Kumar H.N,MBBS,Ophthalmologist,12,Vinayaka Nagar,Bangalore,10,0,400
975,Dr. Shailashree V Bheemaraddi,MBBS,Ophthalmologist,23,Banashankari,Bangalore,0,0,400
976,Dr. Rajashree S Prabhu,MBBS,Ophthalmologist,11,Kammana Halli,Bangalore,0,0,500
977,Dr. Ruchita Falera,MBBS,Ophthalmologist,11,Shivaji Nagar,Bangalore,0,0,500
978,Dr. Vijayalakshmi Prabhu,MBBS,Ophthalmologist,10,Banashankari,Bangalore,0,0,400
979,Dr. Mridula Pentapati,MBBS,Ophthalmologist,20,Hebbal,Bangalore,0,0,800
980,Dr. Lakshmi Krupa,MD,Ophthalmologist,17,Old Airport Road,Bangalore,10,4,750
981,Dr. Mahabaleswar,MBBS,Ophthalmologist,44,Koramangala 5 Block,Bangalore,75,1,650
982,Dr. Deepak Bolbandi,MBBS,Urologist,29,Bannerghatta Road,Bangalore,69,24,850
983,Dr. Girish H,MBBS,Urologist,21,Bannerghatta Road,Bangalore,10,8,850
984,Dr. Harsha R,MBBS,Urologist,9,Sarjapur Road,Bangalore,10,0,750
985,Dr. Pramod B R,MBBS,Urologist,21,Jayanagar,Bangalore,89,8,1000
986,Dr. Ajay Shetty,MBBS,Urologist,18,Hebbal,Bangalore,91,93,1090
987,Dr. Vikram G.D.,MBBS,Urologist,15,Hebbal,Bangalore,96,17,800
988,Dr. Vinay Patil,MBBS,Urologist,25,Hebbal,Bangalore,10,1,900
989,Dr. Deepak Dubey,MBBS,Urologist,33,Old Airport Road,Bangalore,87,26,900
990,Dr. Kunal K Mehra,MBBS,Urologist,12,Kundalahalli,Bangalore,10,0,800
991,Dr. Prabhudev Salanki,MBBS,Urologist,33,Seshadripuram,Bangalore,80,12,740
992,Dr. Vijay Mehtry,MBBS,Psychiatrist,14,JP Nagar 7 Phase,Bangalore,98,89,800
993,Dr. Gajanan Kulkarni,MBBS,Psychiatrist,14,Jayanagar,Bangalore,97,26,1000
994,Dr. Sudhir Hebbar,MBBS,Psychiatrist,29,Marathahalli,Bangalore,76,34,800
995,Dr. Venkatesh Babu G M,MBBS,Psychiatrist,16,Bannerghatta Road,Bangalore,84,45,1000
996,Dr. Swapna B,MBBS,Psychiatrist,20,HSR Layout,Bangalore,89,8,1500
997,Dr. Vidhyavathi M,MBBS,Psychiatrist,16,Malleswaram,Bangalore,0,0,1250
998,Dr. Vanishree B N,M.D,Psychiatrist,5,Sarjapur Road,Bangalore,0,0,1100
999,Dr. Guru Prakash K V,MBBS,Psychiatrist,16,Vijayanagar,Bangalore,10,103,1000
1000,Dr. Harsha GT,M.D,Psychiatrist,9,Yeshwanthpur,Bangalore,0,0,1000
1001,Dr. Vani P,MBBS,Psychiatrist,4,HSR Layout,Bangalore,10,0,1200
1002,Dr. Chandan Saurav Mahapatro,MBBS,Cardiologist,7,Hebbal,Bangalore,0,0,1000
1003,Dr. Kumar Kenchappa,MBBS,Cardiologist,19,Hebbal,Bangalore,98,48,1000
1004,Dr. Kapil Rangan,MBBS,Cardiologist,19,Kundalahalli,Bangalore,82,13,850
1005,Dr. Ranjan Shetty,MBBS,Cardiologist,20,Old Airport Road,Bangalore,92,44,900
1006,Dr. Nagaraja Moorthy,MBBS,Cardiologist,19,Hulimavu,Bangalore,99,188,700
1007,Dr. Roopa. R,MBBS,Cardiologist,23,Banashankari 2nd Stage,Bangalore,95,90,650
1008,Dr. Jai Babu,MBBS,Cardiologist,18,Marathahalli,Bangalore,97,34,600
1009,Dr. Nagesh H E,MBBS,Cardiologist,26,Malleswaram,Bangalore,10,7,750
1010,Dr. S. S. Iyengar,DM,Cardiologist,53,Old Airport Road,Bangalore,10,3,900
1011,Dr. Nagamani A.C,B.Sc,Cardiologist,22,Koramangala 5 Block,Bangalore,96,14,850
1012,Ms. Priyanka Wincy R,BSc,Dietitian/Nutritionist,3,Koramangala 7 Block,Bangalore,10,3,600
1013,Ms. Ranjitha K M,BSc,Dietitian/Nutritionist,5,Whitefield,Bangalore,10,3,600
1014,Dr. Bharathi AV   (PhD),MSc,Dietitian/Nutritionist,25,Richmond Town,Bangalore,92,10,1500
1015,Ms. Shikha Mishra,B.Sc,Dietitian/Nutritionist,14,Sarjapur Road,Bangalore,95,109,500
1016,Dr. Keerthi Shree Kirisave   (PhD),BSc,Dietitian/Nutritionist,13,Basaveshwaranagar,Bangalore,97,85,850
1017,Ms. Uma Trasi,BSc,Dietitian/Nutritionist,22,Malleswaram,Bangalore,10,0,650
1018,Ms. Anwesa Hajra,Post,Dietitian/Nutritionist,9,Whitefield,Bangalore,0,0,800
1019,Dr. Geetha B,MSc,Dietitian/Nutritionist,37,Basaveshwaranagar,Bangalore,10,24,250
1020,Ms. Praseetha,MSc,Dietitian/Nutritionist,3,Kaggadasapura,Bangalore,10,23,500
1021,Ms. Nafeesa Imteyaz,MBBS,Dietitian/Nutritionist,27,Indiranagar,Bangalore,98,430,1000
1022,Dr. Mohit Shetti,MBBS,Gastroenterologist,22,Old Airport Road,Bangalore,87,51,900
1023,Dr. Mallikarjun Sakpal,MBBS,Gastroenterologist,18,Hebbal,Bangalore,96,12,900
1024,Dr. Ravindra B S,MBBS,Gastroenterologist,22,Bannerghatta Road,Bangalore,97,695,900
1025,Dr. Shabir Ahmed,MBBS,Gastroenterologist,29,Koramangala 5 Block,Bangalore,65,15,600
1026,Dr. Lokesh L V,MBBS,Gastroenterologist,18,Indiranagar,Bangalore,85,41,800
1027,Dr. K N K Shetty,MBBS,Gastroenterologist,46,Old Airport Road,Bangalore,79,25,900
1028,Dr. Sagar H C,MBBS,Gastroenterologist,12,Banashankari 3rd Stage,Bangalore,0,0,600
1029,Dr. Rupesh Kalyan,MBBS,Gastroenterologist,19,Whitefield,Bangalore,86,10,900
1030,Dr. Prasanna K S,MBBS,Gastroenterologist,16,Bannerghatta Road,Bangalore,82,18,1000
1031,Dr. Parvesh Kumar Jain,DNB,Gastroenterologist,23,Seshadripuram,Bangalore,67,8,740
1032,Dr. Akshay Hari,MBBS,Neurologist,12,Hebbal,Bangalore,98,53,900
1033,Dr. Lokesh B,MBBS,Neurologist,25,Hebbal,Bangalore,88,6,900
1034,Dr. Abdul Aziz Riyaz,MBBS,Neurologist,10,BTM Layout 2nd Stage,Bangalore,87,26,800
1035,Dr. Ashok Kumar Singhal,MBBS,Neurologist,21,Bannerghatta Road,Bangalore,94,93,900
1036,Dr. A.K. Roy,MBBS,Neurologist,44,Old Airport Road,Bangalore,54,26,900
1037,Dr. J B Agadi,MBBS,Neurologist,44,Seshadripuram,Bangalore,77,9,740
1038,Dr. Guruprasad Hosurkar,MBBS,Neurologist,18,Yeshwanthpur,Bangalore,88,6,950
1039,Dr. Deepak Somasundar,MBBS,Neurologist,13,Yelahanka New Town,Bangalore,99,53,700
1040,Dr. Anuradha H K,MBBS,Neurologist,21,Hebbal,Bangalore,80,19,900
1041,Dr. Chandran Gnanamuthu,MBBS,Neurologist,47,Bannerghatta Road,Bangalore,97,36,900
1042,Dr. Sunil Buddappa,MBBS,Neurosurgeon,12,Sahakaranagar,Bangalore,10,0,1300
1043,Dr. Ganesh Veerabhadraiah,MBBS,Neurosurgeon,21,Jayanagar,Bangalore,10,6,700
1044,Dr. Praveen K.S,MBBS,Neurosurgeon,20,Sampangiramnagar,Bangalore,67,2,800
1045,Dr. Avinash K M,DNB,Neurosurgeon,15,Hebbal,Bangalore,91,14,1090
1046,Dr. Nirmala S,MBBS,Neurosurgeon,19,Hebbal,Bangalore,10,0,900
1047,Dr. Akshay Hari,MBBS,Neurosurgeon,12,Hebbal,Bangalore,98,53,900
1048,Dr. Arun L Naik,MBBS,Neurosurgeon,22,Bannerghatta Road,Bangalore,92,88,1000
1049,Dr. Santhosh,MBBS,Neurosurgeon,15,Hebbal,Bangalore,82,9,900
1050,Dr. K M Bopanna,MBBS,Neurosurgeon,26,Old Airport Road,Bangalore,86,12,900
1051,Dr. Dibanath Chakraborthy,MBBS,Neurosurgeon,24,Malleswaram,Bangalore,60,2,750
1052,Dr. H B Chandrashekar,MBBS,Pulmonologist,39,Malleswaram,Bangalore,94,69,750
1053,Dr. Koushik N S,MBBS,Pulmonologist,21,Yeshwanthpur,Bangalore,91,21,850
1054,Dr. Deepak Kumar R,MBBS,Pulmonologist,18,Ashoknagar,Bangalore,0,0,800
1055,Dr. Padma Sundaram,MBBS,Pulmonologist,31,Old Airport Road,Bangalore,70,33,900
1056,Dr. Sunil Kumar K,MBBS,Pulmonologist,19,Hebbal,Bangalore,82,17,900
1057,Dr. Sumant Mantri,MBBS,Pulmonologist,26,Bannerghatta Road,Bangalore,60,12,1000
1058,Dr. Divya Shree J,MBBS,Pulmonologist,5,Jayanagar 9 Block,Bangalore,10,2,750
1059,Dr. Praveen Kumar B S,MBBS,Pulmonologist,15,Kammana Halli,Bangalore,80,2,750
1060,Dr. Sudharshan K S,MBBS,Pulmonologist,12,Cunningham Road,Bangalore,95,15,1000
1061,Dr. Mohammed Attaullah Khan S,MBBS,Pulmonologist,23,Hebbal,Bangalore,75,1,800
1062,Dr. Ravishankar Bhat,MBBS,Bariatric Surgeon,31,Bannerghatta Road,Bangalore,94,72,850
1063,Dr. Sreedhara V Setty,MBBS,Bariatric Surgeon,19,Electronics City,Bangalore,96,52,700
1064,Dr. H V Shivaram,MBBS,Bariatric Surgeon,39,Hebbal,Bangalore,95,15,900
1065,Dr. Manish Joshi,MBBS,Bariatric Surgeon,22,Kundalahalli,Bangalore,88,24,1050
1066,Dr. Ramesh Makam,DNB,Bariatric Surgeon,33,Bannerghatta Road,Bangalore,91,7,850
1067,Dr. Sumit Talwar,MS,Bariatric Surgeon,29,Old Airport Road,Bangalore,90,11,750
1068,Dr. Sampath Kumar,MBBS,Bariatric Surgeon,22,Old Airport Road,Bangalore,68,10,750
1069,Dr. Vijay C R Reddy,MBBS,Bariatric Surgeon,27,HSR Layout,Bangalore,92,13,599
1070,Dr. Mahesh Chikkachannappa,MBBS,Bariatric Surgeon,23,Hebbal,Bangalore,90,14,900
1071,Dr. Saurabh Misra,MBBS,Bariatric Surgeon,26,Bannerghatta Road,Bangalore,85,8,1000
1072,Dr. Sagar Bhattad,BDS,Rheumatologist,13,JP Nagar,Bangalore,10,7,950
1073,Dr. Pradeep Kumar,BDS,Rheumatologist,23,Electronics City,Bangalore,67,6,700
1074,Dr. Namita Karna,BDS,Dentist,24,Panchsheel Park,Delhi,33,2,1000
1075,Dr. Neetu Singh,BDS,Dentist,15,Dwarka Sector 7,Delhi,10,84,500
1076,Dr. Harsh Goyal,BDS,Dentist,13,Janakpuri,Delhi,10,243,500
1077,Dr. Animesh Agarwal,BDS,Dentist,16,Kingsway Camp,Delhi,99,909,200
1078,Dr. Mridul Seth,BDS,Dentist,30,Panchsheel Park,Delhi,97,40,1200
1079,Dr. Rajat Sachdeva,MDS,Dentist,18,Ashok Vihar,Delhi,95,581,500
1080,Dr. Vishal Arya,BDS,Dentist,24,Pitampura,Delhi,98,147,500
1081,Dr. Rachita Mehlawat,BDS,Dentist,8,Dwarka Sector 6,Delhi,97,64,500
1082,Dr. Chhavi Bajaj,MBBS,Dentist,6,Dwarka Sector 3,Delhi,10,40,350
1083,Dr. Ramandeep Singh Chawla,MBBS,Dentist,12,Janakpuri,Delhi,10,44,600
1084,Dr. Karishma Bhatia,MBBS,Gynecologist/Obstetrician,11,Rohini,Delhi,97,76,500
1085,Dr. Anubha Jain Singhal,MBBS,Gynecologist/Obstetrician,11,Rohini Sector 7,Delhi,99,92,500
1086,Dr. Anita K Jain,MBBS,Gynecologist/Obstetrician,23,Paschim Vihar,Delhi,98,58,600
1087,Dr. Yachna Grover,MBBS,Gynecologist/Obstetrician,30,Greater Kailash Part 2,Delhi,98,303,1200
1088,Dr. Shalini Chawla Khanna,MBBS,Gynecologist/Obstetrician,24,Alaknanda,Delhi,99,247,1000
1089,Dr. Samvedna Sindwani,MBBS,Gynecologist/Obstetrician,13,Vikas Puri,Delhi,97,29,500
1090,Dr. Mamta Mishra,MBBS,Gynecologist/Obstetrician,29,Vasant Kunj,Delhi,97,74,1200
1091,Dr. Garima Srivastav,MS,Gynecologist/Obstetrician,10,Pitampura,Delhi,93,34,800
1092,Dr. Nivedita Raizada,MBBS,Gynecologist/Obstetrician,17,Vasant Kunj,Delhi,10,262,800
1093,Dr. Priya Agarwal,MBBS,Gynecologist/Obstetrician,11,Dilshad Garden,Delhi,10,15,500
1094,Dr. Kumar Ankur,MBBS,Pediatrician,20,Pusa Road,Delhi,10,14,1100
1095,Dr. Kalyanashish Das,MBBS,Pediatrician,23,CR Park,Delhi,10,24,600
1096,Dr. B. B. Aggarwal,MBBS,Pediatrician,33,Pusa Road,Delhi,10,0,1300
1097,Dr. Ankita Katiyar,MBBS,Pediatrician,5,Malviya Nagar,Delhi,10,12,400
1098,Dr. R N Srivastava,MBBS,Pediatrician,63,Sarita Vihar,Delhi,0,0,2500
1099,Dr. Prita Trehan,MBBS,Pediatrician,51,Sarita Vihar,Delhi,10,1,2000
1100,Dr. Gaurav Jawa,MD,Pediatrician,19,Nehru Place,Delhi,91,14,900
1101,Dr. Vikram Kumar Singh,MBBS,Pediatrician,23,CR Park,Delhi,10,2,1000
1102,Dr. R K Alwadhi,MBBS,Pediatrician,26,Pusa Road,Delhi,10,0,1100
1103,Dr. Anamika Dubey,MBBS,Pediatrician,26,Malviya Nagar,Delhi,10,6,1100
1104,Dr. Lalit K Garg,MBBS,Orthopedist,16,Vasant Kunj,Delhi,90,196,800
1105,Dr. Ashish Taneja,MBBS,Orthopedist,18,Janakpuri,Delhi,97,108,800
1106,Dr. Kamal Bachani,DNB,Orthopedist,32,Malviya Nagar,Delhi,96,331,1500
1107,Dr. Saksham Mittal,MBBS,Orthopedist,8,Paschim Vihar,Delhi,10,15,600
1108,Dr. Neetan Sachdeva,MBBS,Orthopedist,24,Pitampura,Delhi,96,53,800
1109,Dr. Aditya Kumar Singhal,MBBS,Orthopedist,11,Rohini Sector 7,Delhi,91,34,800
1110,Dr. Hari Kishan,MBBS,Orthopedist,11,Dwarka Sector 7,Delhi,10,33,700
1111,Dr. Rajesh Bawari,MBBS,Orthopedist,32,Panchsheel Park,Delhi,91,7,1400
1112,Dr. Rahul Sharma,MBBS,Orthopedist,13,Saket,Delhi,96,76,1200
1113,Dr. Harmesh Kapoor,MBBS,Orthopedist,26,Paschim Vihar,Delhi,93,27,800
1114,Dr. Namrata Ghai,MBBS,Dermatologist,21,Bali Nagar,Delhi,92,39,1000
1115,Dr. Ritu Gupta,MBBS,Dermatologist,22,Surajmal Vihar,Delhi,86,54,1000
1116,Dr. Mahima Wadhwa,MBBS,Dermatologist,11,Shalimar Bagh,Delhi,10,51,800
1117,Dr. Deepti Rana,MBBS,Dermatologist,16,Panchsheel Park,Delhi,86,30,1200
1118,Dr. Nitika Nijhara,MD,Dermatologist,7,Patel Nagar East,Delhi,99,52,800
1119,Dr. Gaurav Bhardwaj,MBBS,Dermatologist,10,Punjabi Bagh,Delhi,10,56,1000
1120,Dr. Jaya Gupta,MBBS,Dermatologist,11,Greater Kailash Part 1,Delhi,98,35,1200
1121,Dr. Sirisha Singh,MBBS,Dermatologist,28,Greater Kailash Part 1,Delhi,98,96,1500
1122,Dr. Sunakshi Singh,MPTh/MPT,Dermatologist,13,CR Park,Delhi,89,77,800
1123,Dr. Bhawna Bhardwaj,BPTh/BPT,Dermatologist,11,Greater Kailash Part 1,Delhi,89,4,600
1124,Dr. S.Srivastava   (Physiotherapist),BPTh/BPT,Physiotherapist,11,Burari,Delhi,10,0,350
1125,Dr. Charu Awasthi   (Physiotherapist),MPTh/MPT,Physiotherapist,14,Uttam Nagar,Delhi,10,5,200
1126,Dr. Sandhya Thakkar   (Physiotherapist),BPTh/BPT,Physiotherapist,15,Sarita Vihar,Delhi,10,1,700
1127,Dr. Anuj Sharma   (Physiotherapist),BPTh/BPT,Physiotherapist,10,Dilshad Garden,Delhi,10,2,300
1128,Dr. Richa Gupta   (Physiotherapist),BPTh/BPT,Physiotherapist,14,Jagriti Enclave,Delhi,75,7,1200
1129,Dr. Mansi Arora   (Physiotherapist),BPTh/BPT,Physiotherapist,12,Pitampura,Delhi,92,11,800
1130,Dr. Raj Laxmi Chaturvedi   (Physiotherapist),BPTh/BPT,Physiotherapist,12,Rohini Sector 16,Delhi,95,21,500
1131,Dr. Piyush Jain   (Physiotherapist),BPTh/BPT,Physiotherapist,10,Karkardooma,Delhi,10,99,1000
1132,Dr. Naveen Verma   (Physiotherapist),MBBS,Physiotherapist,19,Rohini Sector 18,Delhi,10,3,500
1133,Dr. S.K.Rathour   (Physiotherapist),DGO,Physiotherapist,15,Chattarpur,Delhi,10,91,300
1134,Dr. Bandana Sodhi,MBBS,Infertility Specialist,31,Lajpat Nagar,Delhi,99,123,900
1135,Dr. Dharna Gupta,MBBS,Infertility Specialist,13,Dwarka Sector 22,Delhi,98,87,700
1136,Dr. Jyoti Bali,MD,Infertility Specialist,24,Karol Bagh,Delhi,97,19,500
1137,Dr. Rekha Brar,MBBS,Infertility Specialist,19,Dwarka,Delhi,10,1,500
1138,Dr. Brigadier RK Sharma,MBBS,Infertility Specialist,39,Janakpuri,Delhi,10,3,1000
1139,Dr. Garima Sharma,MBBS,Infertility Specialist,14,Janakpuri,Delhi,10,1,800
1140,Dr. Meena Harisinghani,MBBS,Infertility Specialist,42,Krishna Nagar,Delhi,0,0,500
1141,Dr. Kashika Gupta Kathuria,MBBS,Infertility Specialist,13,Shakti Nagar,Delhi,82,6,700
1142,Dr. Nilotpala Mohanty,MBBS,Infertility Specialist,22,Chattarpur,Delhi,94,5,700
1143,Dr. Sujata Agarwal,MBBS,Infertility Specialist,34,New Friends Colony,Delhi,92,45,1200
1144,Dr. Yogesh Solanki,MBBS,Ophthalmologist,26,Rohini,Delhi,83,7,500
1145,Dr. Rakesh Kumar,MBBS,Ophthalmologist,17,Panchsheel Park,Delhi,97,86,1000
1146,Dr. Alaka Priyadarsini Dash,MBBS,Ophthalmologist,17,Dwarka Sector 17,Delhi,99,100,600
1147,Dr. Sunita Lulla Gur,DNB,Ophthalmologist,32,Sarita Vihar,Delhi,99,609,600
1148,Dr. Ankita Sharma,MBBS,Ophthalmologist,14,Vikas Puri,Delhi,10,3,500
1149,Dr. Manav Sachdev,MBBS,Ophthalmologist,16,Dwarka Sector 23,Delhi,10,2,600
1150,Dr. Tyag Murti Sharma,MBBS,Ophthalmologist,34,Janakpuri,Delhi,99,124,900
1151,Dr. Anuj Kumar Singal,MS,Ophthalmologist,10,Vasundhra Enclave,Delhi,10,2,600
1152,Dr. Ashiwini Seth,MS,Ophthalmologist,38,Karol Bagh,Delhi,33,2,750
1153,Dr. Amanjot Singh,MBBS,Ophthalmologist,34,Panchsheel Park,Delhi,10,2,1000
1154,Dr. Ashish Sabharwal,MBBS,Urologist,18,Sarita Vihar,Delhi,62,8,1500
1155,Dr. Vipin Arora,MBBS,Urologist,35,Sarita Vihar,Delhi,10,1,1500
1156,Dr. Gaurav Garg,MBBS,Urologist,11,Saket,Delhi,98,49,1000
1157,Dr. Sanjay Gogoi,MBBS,Urologist,24,Dwarka Sector 6,Delhi,83,16,1100
1158,Dr. Ankur Singhal,MBBS,Urologist,4,Nirman Vihar,Delhi,0,0,1000
1159,Dr. Puneet Ahluwalia,MBBS,Urologist,16,Patparganj,Delhi,10,0,800
1160,Dr. Anupam Bhargava,MBBS,Urologist,33,Saket,Delhi,10,1,2200
1161,Dr. B L Bhan,MBBS,Urologist,55,Kilokri,Delhi,0,0,700
1162,Dr. S K Pal,MBBS,Urologist,42,Nehru Place,Delhi,71,16,1500
1163,Dr. Rohit Kaushal,MBBS,Urologist,14,Panchsheel Park,Delhi,92,47,800
1164,Dr. Sagar Verma,MBBS,Psychiatrist,6,Pitampura,Delhi,10,30,1000
1165,Dr. Varsha Mahadik,MBBS,Psychiatrist,12,CR Park,Delhi,98,88,1000
1166,Dr. Arvind Gautam,MBBS,Psychiatrist,16,Dwarka Sector 6,Delhi,98,33,1500
1167,Dr. Sheenam Goyal,DNB,Psychiatrist,10,Paschim Vihar,Delhi,88,15,1500
1168,Dr. Neelesh Tiwari,MBBS,Psychiatrist,21,Janakpuri,Delhi,96,71,2000
1169,Dr. Akshara Mishra,MBBS,Psychiatrist,10,Madhu Vihar,Delhi,86,3,800
1170,Dr. Jateen Ukrani,MBBS,Psychiatrist,11,CR Park,Delhi,96,101,800
1171,Dr. Gourav Gupta,MBBS,Psychiatrist,14,Rohini Sector 8,Delhi,98,46,800
1172,Dr. Apala Singh,MBBS,Psychiatrist,7,Pitampura,Delhi,10,2,1000
1173,Dr. L C Sunda,MBBS,Psychiatrist,40,Paschim Vihar,Delhi,10,0,1800
1174,Dr. Prashanta Kumar Ghosh,MBBS,Cardiologist,48,Sarita Vihar,Delhi,10,1,1500
1175,Dr. Raman Puri,MBBS,Cardiologist,45,Sarita Vihar,Delhi,83,4,1500
1176,Dr. K K Saxena,MBBS,Cardiologist,42,Sarita Vihar,Delhi,10,0,2000
1177,Dr. Rajiv Mehrotra,MBBS,Cardiologist,37,Sarita Vihar,Delhi,10,1,1500
1178,Dr. Arvind Das,MBBS,Cardiologist,23,Panchsheel Park,Delhi,97,18,1750
1179,Dr. Prof Narendra Nath Khanna,MBBS,Cardiologist,20,Sarita Vihar,Delhi,0,0,2500
1180,Dr. Naveen Bhamri,MBBS,Cardiologist,23,Shalimar Bagh,Delhi,97,100,1500
1181,Dr. Chandrashekhar,MBBS,Cardiologist,18,Shalimar Bagh,Delhi,86,6,1200
1182,Dr. Rashi Khare,Certificate,Cardiologist,16,Shalimar Bagh,Delhi,25,4,800
1183,Dr. Umesh Gupta,BSc,Cardiologist,51,Greater Kailash Part 1,Delhi,10,42,2000
1184,Ms. Monica Kapur,Post,Dietitian/Nutritionist,10,Pitampura,Delhi,10,31,1000
1185,Ms. Sakshi Kohli,Post,Dietitian/Nutritionist,12,Paschim Vihar,Delhi,97,10,1500
1186,Ms. Umang Behl,MSc,Dietitian/Nutritionist,7,Shalimar Bagh,Delhi,97,53,450
1187,Ms. Swarn Shikha Sharma,Diploma,Dietitian/Nutritionist,16,Greater Kailash Part 1,Delhi,33,3,300
1188,Ms. Priya Arya,M.Sc,Dietitian/Nutritionist,4,Chattarpur,Delhi,0,0,800
1189,Ms. Divya Gandhi,MSc,Dietitian/Nutritionist,8,Ashok Vihar,Delhi,96,461,1000
1190,Ms. Nupur Jain,M.Sc,Dietitian/Nutritionist,5,Rana Pratap Bagh,Delhi,10,9,850
1191,Ms. Mansi Nigam,MSc,Dietitian/Nutritionist,4,Saket,Delhi,95,42,500
1192,Ms. Sharvi Rastogi,MBBS,Dietitian/Nutritionist,11,Greater Kailash Part 1,Delhi,10,25,1500
1193,Ms. Bipasha Das,MBBS,Dietitian/Nutritionist,14,CR Park,Delhi,99,44,1400
1194,Dr. Yogesh Batra,MBBS,Gastroenterologist,23,Sarita Vihar,Delhi,90,6,1500
1195,Dr. Ravinder Pal Singh,MBBS,Gastroenterologist,22,Pitampura,Delhi,81,10,1500
1196,Dr. Rajeev Shandil,MBBS,Gastroenterologist,12,Sarita Vihar,Delhi,0,0,2000
